order_item_id,order_id,product_id,quantity,unit_price,discount_pct
1,95677,6,1,1004.33,5
2,9819,43,7,217.45,0
3,57129,342,6,329.09,20
4,71199,875,3,676.34,10
5,94250,1875,4,22.28,0
6,74424,288,3,794.58,20
7,15711,33,5,1009.01,5
8,41217,1142,1,555.19,10
9,54345,1641,5,290.88,15
10,1841,1064,2,636.28,10
11,98909,790,5,652.42,0
12,80825,1758,4,677.77,20
13,56118,1443,6,834.02,0
14,6655,1185,4,1163.52,0
15,12200,569,3,435.49,0
16,88100,1382,2,586.39,5
17,62956,1951,6,81.73,15
18,2846,1844,5,1460.63,10
19,97248,1445,1,1072.61,10
20,68506,677,5,263.93,0
21,12552,1985,3,1315.12,20
22,45217,1578,6,783.96,5
23,59852,268,7,744.16,10
24,28013,446,5,1059.59,15
25,6391,1091,4,1248.75,0
26,27109,303,7,728.08,5
27,18714,1696,3,1066.53,10
28,8860,146,3,1023.01,20
29,38240,1938,5,34.26,10
30,28769,492,3,779.99,20
31,14542,59,3,1092.48,10
32,49566,1217,7,1179.73,20
33,84896,1655,3,181.0,5
34,64307,1591,2,231.43,10
35,95635,240,6,352.09,5
36,62197,450,1,693.31,20
37,92263,1899,2,876.53,0
38,88940,207,6,1325.97,20
39,67032,1169,2,286.5,0
40,28839,867,3,436.14,10
41,219,1806,6,1353.94,10
42,32896,1401,3,862.2,15
43,84016,1023,3,872.26,10
44,65284,302,2,392.27,10
45,4677,1184,7,664.21,10
46,31918,1907,5,881.26,5
47,8694,565,4,867.7,20
48,15088,1362,5,592.1,10
49,29125,1810,2,199.01,10
50,12266,1463,6,1430.26,15
51,75301,512,3,1042.46,0
52,82972,1844,5,294.26,10
53,80438,1681,6,629.5,15
54,28042,1825,3,1167.37,10
55,3937,988,4,550.65,15
56,94775,1234,7,661.77,0
57,48219,1498,5,989.33,20
58,29318,1586,6,1059.46,0
59,74296,1686,3,1185.14,0
60,55497,1445,6,1303.75,5
61,2779,1840,2,923.56,0
62,41624,1192,2,1271.75,0
63,92235,1169,4,1092.0,0
64,76380,1502,2,396.57,10
65,33459,305,5,1376.46,10
66,3929,430,2,256.91,15
67,36962,1655,6,167.33,5
68,63307,893,5,1166.71,20
69,50617,312,6,884.79,0
70,70609,1122,4,1415.09,5
71,58306,1753,6,859.72,10
72,9461,705,1,858.23,0
73,33815,1537,3,28.14,10
74,92354,1354,3,322.55,0
75,78956,1918,1,819.97,20
76,88978,803,2,1289.95,10
77,15683,1059,6,1131.08,10
78,96856,703,1,1476.79,0
79,73770,875,3,889.86,15
80,19510,981,3,1459.02,15
81,11168,181,2,628.77,5
82,94067,1787,7,1371.79,5
83,54036,760,5,598.25,10
84,43432,258,3,1201.63,15
85,12004,1938,2,109.89,15
86,8958,1977,3,615.09,5
87,86226,361,6,927.77,0
88,50390,43,7,1267.8,0
89,40256,1541,1,1205.98,15
90,54945,1667,5,144.53,20
91,15414,915,1,1274.56,10
92,58079,1697,4,1007.7,20
93,47135,1321,1,897.68,0
94,19807,628,5,18.3,10
95,49619,26,7,179.96,20
96,56134,249,7,405.22,10
97,73783,1868,7,252.37,10
98,26330,1714,7,813.15,5
99,83543,1664,5,1050.54,15
100,24302,887,2,330.06,0
101,82647,1228,1,164.65,15
102,54167,1673,3,1390.54,10
103,64990,1745,4,786.39,15
104,95261,1833,1,1358.69,5
105,31075,205,3,497.79,15
106,90710,1506,1,1188.17,10
107,91893,1322,5,642.14,5
108,70236,678,7,130.86,5
109,56960,297,3,396.28,0
110,1667,1748,6,1105.61,0
111,96534,1535,5,859.68,10
112,73723,1416,4,1082.79,10
113,41654,1178,5,981.18,15
114,86422,1828,3,1057.82,5
115,90121,1827,3,1485.16,20
116,30421,1930,3,1200.7,5
117,61510,1532,2,647.79,5
118,30201,1127,4,1427.17,15
119,41357,1802,6,1002.46,15
120,94756,990,2,826.77,20
121,6550,945,4,1124.89,20
122,7423,244,1,1168.62,0
123,69894,447,7,1407.31,15
124,9960,1972,2,1193.61,10
125,87408,1163,7,39.98,15
126,20950,893,5,390.23,15
127,35533,89,1,1064.16,0
128,93272,1201,2,685.65,10
129,23597,1720,3,1284.04,15
130,13392,936,4,344.58,15
131,20371,1548,6,308.33,15
132,94434,1135,6,1384.56,10
133,29576,236,3,1039.2,15
134,87170,935,3,208.94,20
135,78728,751,6,657.4,15
136,32174,385,7,404.82,15
137,228,197,3,300.32,10
138,20119,1329,4,878.1,5
139,9495,1329,1,38.18,15
140,1178,863,2,1492.13,15
141,16844,1683,3,1234.09,0
142,4112,823,2,1402.55,5
143,79944,1280,3,487.32,10
144,33553,1730,3,1486.43,10
145,60625,562,1,978.46,0
146,87827,1271,1,1339.27,15
147,54662,1307,5,1193.78,10
148,6257,13,3,1288.88,0
149,78334,471,2,897.48,20
150,72337,970,5,994.82,5
151,23310,220,3,740.17,5
152,47688,522,2,1255.98,10
153,20507,601,2,1380.92,0
154,28301,749,5,1337.76,5
155,62029,576,2,28.84,0
156,45971,307,3,825.31,10
157,80769,1894,3,957.39,10
158,57378,260,6,1291.98,15
159,59633,1075,3,1485.97,10
160,59678,64,2,1420.5,0
161,74255,1163,5,5.6,0
162,98638,1672,6,877.11,10
163,67618,1111,2,565.3,10
164,54235,1373,1,893.12,0
165,87096,1219,2,736.24,0
166,97115,1266,5,481.8,5
167,1242,1220,5,331.19,0
168,39243,1192,4,123.75,0
169,32417,1553,5,304.94,15
170,10421,1919,6,937.66,10
171,38003,1390,4,780.4,10
172,55593,551,1,119.26,15
173,92992,1338,2,903.75,10
174,50867,746,3,868.17,5
175,90247,904,2,627.74,20
176,33610,1025,2,567.48,20
177,53267,1456,1,1162.22,20
178,66983,854,1,1154.49,20
179,53648,1303,6,868.4,0
180,47410,606,6,358.55,20
181,55236,1863,2,466.06,15
182,50054,932,1,223.34,20
183,74285,1243,7,1396.57,20
184,44041,715,7,1378.15,15
185,63851,387,4,1479.51,10
186,28990,316,6,64.3,0
187,40217,1934,3,258.96,0
188,71710,1792,5,308.78,15
189,53708,1295,6,524.03,5
190,10283,1069,5,1311.53,10
191,14526,1423,5,273.15,15
192,94867,1185,7,1195.14,0
193,21392,688,3,1458.86,0
194,55312,78,1,358.25,10
195,20599,1506,3,1412.18,15
196,4808,1202,6,1231.08,20
197,26623,224,6,458.9,10
198,10285,1204,2,941.96,5
199,9564,1227,5,469.74,0
200,35629,949,4,1363.06,10
201,23524,1096,2,1211.69,15
202,7361,1365,2,817.9,5
203,13647,1915,4,1481.73,15
204,75709,1694,5,56.29,0
205,32051,736,7,544.74,15
206,50591,1114,5,952.32,15
207,6440,581,4,449.13,10
208,21035,1917,6,54.41,10
209,80237,793,2,454.49,15
210,41851,719,6,202.77,5
211,46793,1418,1,326.61,10
212,8983,10,7,1153.98,15
213,45320,231,2,832.96,20
214,43455,253,4,222.81,10
215,43555,503,6,17.26,15
216,30799,1216,6,366.62,5
217,83071,614,5,1364.02,0
218,4476,249,7,32.11,20
219,91150,1405,5,265.56,15
220,87888,1662,2,902.14,20
221,58646,448,7,1013.65,5
222,79403,1228,5,1129.31,10
223,96073,481,1,117.63,5
224,62559,700,7,764.53,0
225,75392,1943,7,1130.16,10
226,29238,1013,2,637.71,20
227,69197,1631,5,1400.47,20
228,59228,65,7,103.07,0
229,33824,1258,3,121.93,20
230,32684,1740,7,320.94,15
231,48702,169,7,131.29,0
232,4255,1926,6,231.17,20
233,67227,1006,2,584.74,10
234,30643,1616,1,1352.76,5
235,7350,360,5,1154.65,5
236,89070,990,7,124.46,20
237,61432,400,6,1246.11,10
238,98113,1536,2,824.37,20
239,48935,1619,7,1448.69,10
240,37752,226,6,1297.26,20
241,92328,1752,4,166.21,20
242,58086,386,2,1098.56,15
243,10417,689,1,569.58,10
244,55738,774,5,1120.91,5
245,54859,1071,7,1042.9,10
246,4715,1759,5,1382.46,5
247,44315,1137,7,1196.98,10
248,54501,1401,5,1366.45,20
249,67890,800,5,1263.23,15
250,13330,1561,4,109.64,0
251,11903,1642,7,916.77,5
252,38378,1643,5,885.23,15
253,54668,1940,3,1410.01,15
254,83094,1523,3,1387.5,10
255,70648,1351,2,927.58,10
256,33695,1317,2,704.77,20
257,54160,1283,4,765.62,0
258,44238,1990,2,1235.83,15
259,946,1654,4,831.71,10
260,97272,94,2,690.2,10
261,5377,392,2,1376.35,20
262,77511,95,2,479.54,10
263,73760,1214,4,390.5,0
264,20996,1982,5,267.18,5
265,51371,973,2,791.69,0
266,30431,1230,7,216.0,15
267,78998,212,1,184.34,20
268,76930,788,6,1454.88,15
269,18213,1726,5,420.51,5
270,90072,506,3,484.32,20
271,91306,1838,3,1051.29,10
272,79981,987,4,115.88,5
273,8985,405,3,361.56,10
274,12457,1850,3,749.17,20
275,5200,70,6,91.62,10
276,36801,1034,6,320.41,5
277,46614,224,3,1090.74,15
278,20624,600,2,707.11,10
279,41433,1530,6,499.09,5
280,38637,382,4,735.74,15
281,99675,1444,3,750.23,20
282,81033,624,4,635.23,5
283,88470,1131,2,1331.87,0
284,25735,137,3,1186.9,0
285,62126,486,7,375.56,0
286,40713,923,3,488.82,20
287,52126,232,4,839.34,5
288,73746,1710,6,849.12,15
289,31253,1297,5,994.87,5
290,19355,189,5,717.78,10
291,7737,890,1,106.64,15
292,3795,14,4,249.03,20
293,80658,96,6,838.72,10
294,39311,110,3,537.27,5
295,12668,928,1,485.56,15
296,9293,1016,2,572.31,5
297,16256,716,4,255.43,5
298,35399,133,4,862.66,10
299,67635,8,1,1283.3,20
300,62215,1265,7,858.01,20
301,85415,279,1,132.71,5
302,89240,1800,3,90.45,0
303,57761,516,4,1138.89,5
304,83294,402,3,1407.29,10
305,42082,517,6,1100.2,0
306,50690,864,7,529.96,10
307,34295,783,3,140.81,0
308,55189,725,4,256.66,10
309,44317,1077,5,1481.77,20
310,89769,738,3,440.12,0
311,19741,1618,6,744.47,15
312,98987,1644,3,668.07,5
313,83109,1009,1,512.68,20
314,58184,331,6,1192.77,5
315,48340,1098,4,1272.84,15
316,73784,1675,2,571.87,0
317,2627,1565,6,125.0,0
318,54707,377,4,680.53,5
319,19977,325,2,555.31,20
320,60609,209,4,354.03,15
321,39999,1488,2,1077.16,15
322,96740,1016,1,1291.01,5
323,16790,1026,7,471.52,5
324,85824,1139,7,201.7,20
325,63339,598,2,1024.3,20
326,93877,1958,4,1066.65,10
327,90204,1364,5,771.29,20
328,4553,1622,6,1179.68,20
329,84025,114,5,628.23,5
330,89067,410,7,731.8,20
331,75984,174,5,213.5,5
332,56390,997,2,859.58,0
333,87803,1288,2,429.45,15
334,10376,477,1,709.08,20
335,61539,1048,1,1379.89,20
